# Prompt Patch Baseline — v2.1.246
# Generated: 2026-08-26T08:20:13.902Z
# Patches: 71
# Original size (find): 59,102 chars
# Replaced size:        20,912 chars
# Total savings:        38,190 chars (65%)

Patch ID                               Find   Replace   Savings
---------------------------------------------------------------
todowrite-examples                    5,834       437     5,397
git-commit                            4,182       592     3,590
bash-tool                               265        76       189
bash-background-discipline              127       370      -243
bash-background-discipline-legacy       364       607      -243
pr-creation                           1,860       489     1,371
enterplanmode-when-to-use             1,720       247     1,473
todowrite-states                      1,760       350     1,410
skill-tool                            1,425       115     1,310
todowrite-when-to-use                 1,176       230       946
lsp-tool                              1,235       163     1,072
edit-tool                               737       270       467
enterplanmode-examples                  928       178       750
enterplanmode-whathappens               426       143       283
exitplanmode                          1,833       221     1,612
webfetch-usage                          766       136       630
grep-tool                               931       415       516
todowrite-examples-v2                   437         0       437
agent-claude-code-guide                 897       126       771
notebookedit                            647       213       434
write-tool                              482       106       376
websearch-critical                      485       106       379
bashoutput                              364       118       246
code-references                         380         9       371
git-commit-v2                           592       239       353
agent-explore                           607       152       455
security-warning                        459       181       278
pr-creation-v2                          489       188       301
glob-tool                               243        74       169
askuserquestion                         827       795        32
bash-description-param                  159        45       114
hooks-instruction                       361       118       243
grep-params-context                     563       320       243
killshell                               377        35       342
glob-path-param                         268        53       215
agent-tool-intro                        694       372       322
grep-params-output_mode                 338       133       205
grep-params-head_limit                  366        88       278
cli-format-instruction                  129        43        86
read-tool                               298       122       176
read-capabilities                       685       111       574
system-reminder-instruction             214       100       114
output-text-instruction                 107        74        33
agent-general-purpose                   291       128       163
explore-instruction                     158       120        38
url-warning                             215        77       138
agent-plan                              238       103       135
read-tool-offset                        165        51       114
grep-params-offset                      153        45       108
grep-params-type                        175        69       106
todos-mark-complete                     131        49        82
taskupdate                            2,284       149     2,135
tasklist                                950        90       860
expressive-tone                          43       121       -78
natural-emojis                          105        46        59
agent-usage-notes                     6,733     3,970     2,763
fast-mode-info                          168         4       164
communicating-with-user               1,340     2,395    -1,055
work-principles                       1,908     2,984    -1,076
section-rename                           15        16        -1
null-executing-actions                3,609        11     3,598
auto-memory-ym6                          20        20         0
lean-harness                            534       240       294
lean-action-caution                     652       303       349
lean-todowrite                          394       184       210
lean-read                               491       243       248
lean-write                              243       152        91
lean-edit                               415       303       112
language-collapse                       455        23       432
drop-agenttool-prohibition              136        11       125
decisiveness-period                      44        45        -1
---------------------------------------------------------------
TOTAL                                59,102    20,912    38,190
