# Prompt Patch Baseline — v2.1.280
# Generated: 2026-09-22T18:08:16.952Z
# Patches: 75
# Original size (find): 64,084 chars
# Replaced size:        23,784 chars
# Total savings:        40,300 chars (63%)

Patch ID                               Find   Replace   Savings
---------------------------------------------------------------
todowrite-examples                    5,834       437     5,397
git-commit                            4,122       592     3,530
bash-tool                               265        76       189
bash-background-discipline              127       370      -243
bash-background-discipline-legacy       364       607      -243
pr-creation                           1,852       489     1,363
enterplanmode-when-to-use             1,720       247     1,473
todowrite-states                      1,760       350     1,410
skill-tool                            1,425       115     1,310
todowrite-when-to-use                 1,176       230       946
lsp-tool                              1,235       163     1,072
edit-tool                               756       289       467
enterplanmode-examples                  928       178       750
enterplanmode-whathappens               426       143       283
exitplanmode                          1,833       221     1,612
webfetch-usage                          901       136       765
grep-tool                               931       415       516
todowrite-examples-v2                   437         0       437
agent-claude-code-guide               1,029       126       903
notebookedit                            647       213       434
write-tool                              496       120       376
websearch-critical                      485       106       379
bashoutput                              364       118       246
code-references                         380         9       371
git-commit-v2                           592       239       353
agent-explore                           607       152       455
security-warning                        459       181       278
pr-creation-v2                          489       188       301
glob-tool                               243        74       169
askuserquestion                         827       795        32
bash-description-param                  159        45       114
hooks-instruction                       361       118       243
grep-params-context                     531       288       243
killshell                               377        35       342
glob-path-param                         268        53       215
agent-tool-intro                        749       372       377
grep-params-output_mode                 333       128       205
grep-params-head_limit                  358        80       278
cli-format-instruction                  129        43        86
read-tool                               298       122       176
read-capabilities                       685       111       574
system-reminder-instruction             214       100       114
output-text-instruction                 107        74        33
agent-general-purpose                   291       128       163
explore-instruction                     158       120        38
url-warning                             215        77       138
agent-plan                              238       103       135
grep-params-offset                      153        45       108
grep-params-type                        167        61       106
todos-mark-complete                     131        49        82
taskupdate                            2,284       149     2,135
tasklist                                950        90       860
expressive-tone                          43       121       -78
natural-emojis                          105        46        59
agent-usage-notes                     6,520     4,126     2,394
fast-mode-info                          168         4       164
communicating-with-user               1,340     2,395    -1,055
work-principles                       1,908     2,984    -1,076
section-rename                           15        16        -1
null-executing-actions                3,609        11     3,598
auto-memory-ym6                          20        20         0
lean-harness                            534       240       294
lean-action-caution                     520       303       217
lean-todowrite                          394       184       210
lean-read                               508       260       248
lean-write                              196       152        44
lean-edit                               515       253       262
language-collapse                       455        23       432
decisiveness-period                      44        45        -1
lean-bash-caveat                        267        35       232
lean-corrections                      1,245       549       696
lean-delivering-work                  2,017     1,218       799
lean-memory-rules                       388       298        90
lean-toolsearch                         717       378       339
lean-askuserquestion-preview            690       353       337
---------------------------------------------------------------
TOTAL                                64,084    23,784    40,300
